Grade,Subject,Year,N-Size,Level 1,Level 2,Level 3,Level 4,Level 5
3,Math,2014-15,3403,0.21,0.24,0.26,0.24,0.06
4,Math,2014-15,3144,0.2,0.28,0.24,0.25,0.03
5,Math,2014-15,2650,0.17,0.33,0.26,0.2,0.04
6,Math,2014-15,2045,0.25,0.32,0.24,0.18,0.02
7,Math,2014-15,2022,0.25,0.35,0.25,0.15,0.01
8,Math,2014-15,2256,0.36,0.3,0.21,0.12,0.01
3,English,2014-15,3402,0.37,0.21,0.18,0.22,0.02
4,English,2014-15,3137,0.24,0.24,0.24,0.22,0.06
5,English,2014-15,2636,0.26,0.28,0.23,0.21,0.03
6,English,2014-15,2055,0.28,0.27,0.22,0.18,0.05
7,English,2014-15,2048,0.35,0.22,0.19,0.15,0.09
8,English,2014-15,2230,0.35,0.22,0.19,0.18,0.06
3,Math,2015-16,3855,0.22,0.21,0.22,0.28,0.08
4,Math,2015-16,3399,0.23,0.25,0.22,0.27,0.04
5,Math,2015-16,2932,0.18,0.28,0.26,0.23,0.05
6,Math,2015-16,1935,0.25,0.3,0.23,0.19,0.04
7,Math,2015-16,2145,0.25,0.33,0.24,0.18,0.01
8,Math,2015-16,2156,0.41,0.25,0.2,0.13,0.01
3,English,2015-16,3866,0.35,0.21,0.2,0.22,0.03
4,English,2015-16,3413,0.24,0.23,0.25,0.22,0.07
5,English,2015-16,2943,0.2,0.28,0.24,0.25,0.03
6,English,2015-16,1930,0.24,0.25,0.25,0.21,0.05
7,English,2015-16,2143,0.33,0.24,0.19,0.17,0.07
8,English,2015-16,2151,0.31,0.22,0.21,0.21,0.06
3,Math,2016-17,3831,0.18,0.2,0.23,0.29,0.1
4,Math,2016-17,3776,0.2,0.24,0.23,0.29,0.04
5,Math,2016-17,3120,0.19,0.26,0.25,0.25,0.06
6,Math,2016-17,2163,0.25,0.27,0.22,0.21,0.05
7,Math,2016-17,1988,0.22,0.31,0.24,0.2,0.02
8,Math,2016-17,2167,0.41,0.21,0.2,0.16,0.01
3,English,2016-17,3839,0.31,0.2,0.2,0.26,0.02
4,English,2016-17,3774,0.21,0.23,0.23,0.25,0.09
5,English,2016-17,3118,0.2,0.21,0.25,0.3,0.05
6,English,2016-17,2165,0.18,0.26,0.23,0.24,0.09
7,English,2016-17,1994,0.25,0.2,0.22,0.21,0.13
8,English,2016-17,2170,0.29,0.22,0.19,0.23,0.07
