School Code,School,Subject,School Year,Level 1,Level 2,Level 3,Level 4,Level 5
308,Malcolm X ES,Math,2014-15,0.57,0.3,0.1,0.04,0
308,Malcolm X ES,English,2014-15,0.6,0.26,0.12,0.03,0
308,Malcolm X ES,Math,2015-16,0.45,0.33,0.21,0.01,0
308,Malcolm X ES,English,2015-16,0.5,0.27,0.18,0.05,0
308,Malcolm X ES,Math,2016-17,0.3,0.39,0.21,0.1,0
308,Malcolm X ES,English,2016-17,0.31,0.35,0.28,0.06,0
315,Simon ES,Math,2014-15,0.19,0.44,0.27,0.09,0.01
315,Simon ES,English,2014-15,0.28,0.4,0.25,0.07,0
315,Simon ES,Math,2015-16,0.2,0.41,0.25,0.14,0
315,Simon ES,English,2015-16,0.46,0.32,0.17,0.06,0
315,Simon ES,Math,2016-17,0.41,0.33,0.21,0.05,0
315,Simon ES,English,2016-17,0.53,0.3,0.15,0.03,0
324,Takoma EC,Math,2014-15,0.32,0.35,0.22,0.12,0.01
324,Takoma EC,English,2014-15,0.28,0.21,0.33,0.17,0.01
324,Takoma EC,Math,2015-16,0.36,0.28,0.25,0.1,0.01
324,Takoma EC,English,2015-16,0.33,0.25,0.25,0.16,0.01
324,Takoma EC,Math,2016-17,0.29,0.36,0.19,0.13,0.03
324,Takoma EC,English,2016-17,0.27,0.22,0.28,0.22,0.01
328,Tubman ES,Math,2014-15,0.17,0.37,0.29,0.17,0.01
328,Tubman ES,English,2014-15,0.33,0.31,0.22,0.15,0
328,Tubman ES,Math,2015-16,0.2,0.31,0.31,0.17,0.01
328,Tubman ES,English,2015-16,0.28,0.35,0.26,0.11,0
328,Tubman ES,Math,2016-17,0.12,0.38,0.31,0.18,0.02
328,Tubman ES,English,2016-17,0.23,0.29,0.29,0.18,0
